candidate_id,rank,score,reasoning
CAND_0046525,1,1.6660,Senior Machine Learning Engineer with 6.1 yrs exp; 17  skills; response rate 0.88; 49.4 % JD similarity.
CAND_0076412,2,1.5867,AI Research Engineer with 5.8 yrs exp; 17  skills; response rate 0.54; 56.5 % JD similarity.
CAND_0004713,3,1.5753,Software Engineer with 7.7 yrs exp; 14  skills; response rate 0.58; 56.1 % JD similarity.
CAND_0034618,4,1.5678,Software Engineer with 8.0 yrs exp; 13  skills; response rate 0.54; 55.8 % JD similarity.
CAND_0098217,5,1.5405,ML Engineer with 6.4 yrs exp; 12  skills; response rate 0.84; 45.7 % JD similarity.
CAND_0073314,6,1.4949,Senior Software Engineer (ML) with 5.2 yrs exp; 14  skills; response rate 0.84; 44.4 % JD similarity.
CAND_0018499,7,1.4024,Senior Machine Learning Engineer with 7.2 yrs exp; 17  skills; response rate 0.61; 49.9 % JD similarity.
CAND_0053830,8,1.3929,Software Engineer with 6.1 yrs exp; 16  skills; response rate 0.43; 57.2 % JD similarity.
CAND_0060538,9,1.3840,ML Engineer with 5.2 yrs exp; 19  skills; response rate 0.59; 49.3 % JD similarity.
CAND_0006418,10,1.3650,Machine Learning Engineer with 5.7 yrs exp; 16  skills; response rate 0.92; 46.7 % JD similarity.
CAND_0066884,11,1.3504,AI Specialist with 5.5 yrs exp; 12  skills; response rate 0.44; 48.1 % JD similarity.
CAND_0067866,12,1.3001,Senior Software Engineer (ML) with 6.4 yrs exp; 13  skills; response rate 0.79; 46.3 % JD similarity.
CAND_0052431,13,1.2967,ML Engineer with 5.3 yrs exp; 12  skills; response rate 0.85; 48.1 % JD similarity.
CAND_0066610,14,1.2896,Software Engineer with 6.1 yrs exp; 17  skills; response rate 0.63; 45.9 % JD similarity.
CAND_0098952,15,1.2800,AI Research Engineer with 5.5 yrs exp; 17  skills; response rate 0.66; 52.6 % JD similarity.
CAND_0029020,16,1.2604,Software Engineer with 5.5 yrs exp; 15  skills; response rate 0.45; 58.4 % JD similarity.
CAND_0089947,17,1.2576,Junior ML Engineer with 5.4 yrs exp; 14  skills; response rate 0.59; 44.8 % JD similarity.
CAND_0077337,18,1.2550,Staff Machine Learning Engineer with 7.0 yrs exp; 20  skills; response rate 0.95; 50.8 % JD similarity.
CAND_0019504,19,1.2311,Senior Software Engineer with 5.8 yrs exp; 13  skills; response rate 0.55; 43.8 % JD similarity.
CAND_0076214,20,1.2295,Software Engineer with 7.4 yrs exp; 15  skills; response rate 0.84; 54.7 % JD similarity.
CAND_0010257,21,1.2240,Senior Data Scientist with 6.5 yrs exp; 15  skills; response rate 0.72; 43.6 % JD similarity.
CAND_0052125,22,1.2222,Software Engineer with 6.0 yrs exp; 14  skills; response rate 0.84; 54.4 % JD similarity.
CAND_0037000,23,1.2053,Search Engineer with 2.7 yrs exp; 17  skills; response rate 0.61; 42.9 % JD similarity.
CAND_0026007,24,1.2046,Senior Software Engineer with 6.2 yrs exp; 19  skills; response rate 0.8; 44.7 % JD similarity.
CAND_0073007,25,1.1944,AI Specialist with 5.8 yrs exp; 14  skills; response rate 0.83; 53.2 % JD similarity.
CAND_0077261,26,1.1924,AI Specialist with 5.7 yrs exp; 17  skills; response rate 0.81; 53.1 % JD similarity.
CAND_0007567,27,1.1869,AI Specialist with 6.1 yrs exp; 15  skills; response rate 0.8; 48.0 % JD similarity.
CAND_0002025,28,1.1599,Senior AI Engineer with 5.9 yrs exp; 20  skills; response rate 0.8; 51.6 % JD similarity.
CAND_0025293,29,1.1569,Data Scientist with 6.4 yrs exp; 13  skills; response rate 0.79; 41.2 % JD similarity.
CAND_0042029,30,1.1488,Senior Data Scientist with 6.5 yrs exp; 18  skills; response rate 0.67; 47.2 % JD similarity.
